district,state,censuscode,centroid_lat,centroid_lon
Karimnagar,Andhra Pradesh,534,18.54965,79.2409
Karnal,Haryana,74,29.68746,76.88475
Karur,Tamil Nadu,613,10.84298,78.13309
Kasaragod,Kerala,588,12.46282,75.15368
Kathua,Jammu & Kashmir,7,32.56627,75.5938
Katihar,Bihar,212,25.54545,87.64499
Katni,Madhya Pradesh,450,23.7542,80.40146
Kaushambi,Uttar Pradesh,174,25.48874,81.45359
Kendrapara,Odisha,379,20.55313,86.6097
Kendujhar,Odisha,375,21.53708,85.70507
Khagaria,Bihar,223,25.51218,86.60315
Khammam,Andhra Pradesh,541,17.59691,80.6873
Kheda,Gujarat,483,22.87628,73.01673
Kheri,Uttar Pradesh,153,28.12251,80.66705
Khordha,Odisha,386,20.08996,85.51142
Khunti,Jharkhand,365,22.99771,85.27455
Kinnaur,Himachal Pradesh,34,31.59679,78.41262
Kiphire,Nagaland,269,25.84486,94.82514
Kishanganj,Bihar,210,26.29562,87.93528
Kishtwar,Jammu & Kashmir,18,33.52958,76.01462
Koch Bihar,West Bengal,329,26.29107,89.34358
Kodagu,Karnataka,576,12.32436,75.80327
Kodarma,Jharkhand,348,24.43704,85.5956
Kohima,Nagaland,270,25.78104,94.12908
Kokrajhar,Assam,300,26.51451,90.13063
Kolar,Karnataka,581,13.13933,78.21769
Kolasib,Mizoram,282,24.19797,92.72694
Kolhapur,Maharashtra,530,16.46973,74.15975
Kolkata,West Bengal,342,22.55526,88.35584
Kollam,Kerala,600,8.96099,76.87487
Koppal,Karnataka,560,15.56175,76.22187
Koraput,Odisha,398,18.81655,82.72127
Korba,Chhattisgarh,404,22.53231,82.61191
Koriya,Chhattisgarh,400,23.46814,82.23719
Kota,Rajasthan,127,25.12413,76.12932
Kottayam,Kerala,597,9.63707,76.65092
Kozhikode,Kerala,591,11.4848,75.83436
Krishna,Andhra Pradesh,547,16.56264,80.80067
Krishnagiri,Tamil Nadu,631,12.48904,78.03269
Kulgam,Jammu & Kashmir,15,33.58819,74.86057
Kullu,Himachal Pradesh,26,31.90447,77.40022
Kupwara,Jammu & Kashmir,1,34.53193,74.26605
